GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(km/h),Trip Distance(km),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Engine RPM(rpm),Throttle Position(Manifold)(%),Unnamed: 18,11749
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:31.796000,7.49045553,44.64949345,0.71,4.288,397,193.4,0.45314026,5.8754883,8.657837,0.2054794,2,0.000892499985639005,1.47450375556945,0.0966802388429641,1043,14.5098037719726,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:31.896000,7.49045553,44.64949345,0.71,4.288,397,193.4,-0.14779663,8.090118,2.1049194,-0.12872946,2,0.000892499985639005,1.27862584590911,0.155777513980865,1043,14.5098037719726,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:31.996000,7.49045553,44.64949345,0.71,4.288,397,193.4,0.64707947,8.224197,0.46966553,-0.12260485,2,0.000892499985639005,1.27862584590911,0.155777513980865,1023.5,14.5098037719726,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:32.095000,7.49045553,44.64949345,0.71,4.288,397,193.4,0.13232422,8.968796,1.341156,-0.09823181,2,0.00111361104063689,1.27862584590911,0.155777513980865,1023.5,14.5098037719726,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:32.196000,7.49045553,44.64949345,0.71,4.288,397,193.4,-2.9466248,8.82515,-0.5526581,-0.08334001,2,0.00111361104063689,1.27862584590911,0.155777513980865,1023.5,14.5098037719726,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:32.296000,7.49045553,44.64949345,0.71,4.288,397,193.4,-0.17173767,9.517075,0.8886566,-0.006482601,2,0.00111361104063689,1.26777064800262,0.155777513980865,948,14.5098037719726,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:32.396000,7.49045553,44.64949345,0.71,4.288,397,193.4,0.15626526,9.821136,1.8870392,-0.005314519,1,0.00127652776427567,1.26777064800262,0.155777513980865,948,14.5098037719726,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:32.503000,7.49046159,44.64949245,0.44,4.288,397,158.2,0.34539795,9.533829,1.5159454,-0.0023534815,1,0.00127652776427567,1.26777064800262,0.155777513980865,948,14.9019613265991,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:32.595000,7.49046159,44.64949245,0.44,4.288,397,158.2,0.448349,9.825912,0.23744202,0.021956265,1,0.00127652776427567,0.575491964817047,0.175763919949531,948,14.9019613265991,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:32.695000,7.49046159,44.64949245,0.44,4.288,397,158.2,0.21850586,9.751694,2.4640503,0.014495975,1,0.00127652776427567,0.575491964817047,0.175763919949531,797.5,14.9019613265991,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:32.796000,7.49046159,44.64949245,0.44,4.288,397,158.2,2.9981842,9.205826,1.6835327,0.013896857,0,0.00127652776427567,0.575491964817047,0.175763919949531,797.5,14.9019613265991,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:32.895000,7.49046159,44.64949245,0.44,4.288,397,158.2,1.9686737,9.107666,3.3881989,0.015949424,0,0.00127652776427567,0.575491964817047,0.175763919949531,797.5,14.9019613265991,,
