GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Litres Per 100 Kilometer(Instant)(l/100km),GPS Altitude(m),Engine RPM(rpm),Trip Distance(km),Acceleration Sensor(Total)(g)
Tue Mar 26 17:00:02 GMT+01:00 2019,26-Mar-2019 17:01:32.364,7.642342777584173,45.02946672731137,2.7880175,16.0,255.60517292527751,226.22243,-0.5710171,9.495404,3.6858735,0.058927357,14.0,15.947501182556152,255.60517292527751,0.0,3.9026260375976562,0.05892735719680786
Tue Mar 26 17:00:03 GMT+01:00 2019,26-Mar-2019 17:01:33.365,7.642308250116131,45.02944266668651,3.2850535,16.0,255.565062319967,225.87544,-0.50278234,9.016563,3.345897,0.016706029,16.0,12.530179023742676,255.565062319967,0.0,3.906792640686035,0.016706028953194618
Tue Mar 26 17:00:04 GMT+01:00 2019,26-Mar-2019 17:01:34.364,7.642269554708713,45.02941640068643,3.7267756,24.0,255.52394691865078,229.4348,-0.7445967,9.091981,3.5051112,0.022797767,19.0,9.232763290405273,255.52394691865078,0.0,3.911653757095337,0.02279776707291603
Tue Mar 26 17:00:05 GMT+01:00 2019,26-Mar-2019 17:01:35.365,7.642221198095295,45.029386888500746,4.136842,8.0,255.09599925789416,229.6315,0.5758055,9.436746,3.3770216,-0.028002633,20.0,8.771125793457031,255.09599925789416,0.0,3.916534185409546,-0.028002632781863213
Tue Mar 26 17:00:06 GMT+01:00 2019,26-Mar-2019 17:01:36.365,7.6421737726952745,45.029357995942085,4.582608,24.0,254.70684980746418,228.47153,-0.8619126,9.232041,3.7960067,0.040318906,22.0,7.973750591278076,254.70684980746418,0.0,3.9221575260162354,0.04031890630722046
Tue Mar 26 17:00:07 GMT+01:00 2019,26-Mar-2019 17:01:37.364,7.642123870964652,45.02932651763851,4.8980637,24.0,254.36378880798267,227.19646,-0.56982,9.491813,3.891775,0.066348374,23.0,7.627065658569336,254.36378880798267,0.0,3.928288698196411,0.0663483738899231
Tue Mar 26 17:00:08 GMT+01:00 2019,26-Mar-2019 17:01:38.364,7.642073774494945,45.02929364249795,5.150323,24.0,253.89350750732495,226.67484,0.14844051,8.962694,3.9863458,0.057034492,24.0,7.309271335601807,253.89350750732495,0.0,3.934098482131958,0.05703449249267578
Tue Mar 26 17:00:09 GMT+01:00 2019,26-Mar-2019 17:01:39.365,7.642017765206057,45.02925603371111,5.4574933,12.0,253.514980094877,227.46404,0.2633622,9.0476885,4.2078094,0.0061301156,25.0,7.016900539398193,253.514980094877,0.0,3.940904140472412,0.00613011559471488
Tue Mar 26 17:00:10 GMT+01:00 2019,26-Mar-2019 17:01:40.364,7.641953589378065,45.02921362485116,5.808643,12.0,253.4060100880178,225.13744,0.107739076,9.107543,2.4600422,0.0048641986,25.0,7.627065658569336,253.4060100880178,0.0,3.953564167022705,0.004864198621362448
Tue Mar 26 17:00:11 GMT+01:00 2019,26-Mar-2019 17:01:41.364,7.641885066272714,45.02916507629584,6.1546817,24.0,252.98672437579842,226.48442,0.20949265,6.042965,1.1264719,-0.35402447,29.0,7.016900539398193,252.98672437579842,0.0,3.961064100265503,-0.3540244698524475
Tue Mar 26 17:00:12 GMT+01:00 2019,26-Mar-2019 17:01:42.365,7.641814098597156,45.02911548263571,6.728297,8.0,252.5464389005356,222.3604,-0.62368953,8.9758625,3.4799721,0.011224143,32.0,6.0490522384643555,252.5464389005356,0.0,3.9695956707000732,0.011224143207073212
